site_id,site_name,site_description,latitude,longitude
1,19221NB,TIRTL 01 Ridgegate #40_J1&G,39.524726,-104.867196
2,19247NB,TIRTL 02 _Ridgegate #41_J1&G,39.528622,-104.867489
3,19280NB,TIRTL 03 _Lincoln #43_J1&G,39.533103,-104.86792
4,19310NB,TIRTL 04 _Lincoln #44_J1&G,39.536878,-104.868211
5,19342NB,TIRTL 05 _Lincoln #46_J1& J2,39.542594,-104.868632
6,19374NB,TIRTL 06 _San Luis St PedXng #47_J1&G,39.547091,-104.868995
7,19408NB,TIRTL 07 Highway 470 #48_J1&G,39.552162,-104.869686
8,19460NB,TIRTL 08 Highway 470 #53_J1&G,39.559382,-104.870928
9,19480NB,TIRTL 09 Inverness Pkwy #54_J1&G,39.562543,-104.871316
10,19520NB,TIRTL 10 E County Line Rd #55_J1&G,39.567373,-104.8722
11,19561NB,TIRTL 11 IKEA#57_J1&G,39.573374,-104.873495
12,19607NB,TIRTL 12 Dry Creek Rd #59_J1&G,39.579277,-104.875605
13,19646NB,TIRTL 13 Clinton St #61_J1& J2,39.584865,-104.878789
14,19682NB,TIRTL 14 Dry Creek Rd #62_J1& J2,39.589541,-104.881488
15,19709NB,TIRTL 15 Arapahoe Rd #64_J1& J2,39.593439,-104.883624
16,19730NB,TIRTL 16 Arapahoe Rd #65_J1& J2,39.596776,-104.885616
17,19760NB,TIRTL 17 Yosemite St #66_J1&G,39.600806,-104.888003
18,19800NB,TIRTL 18 Yosemite St #67_J1& J2,39.605201,-104.890529
19,19825NB,TIRTL 19 Orchard Rd #68_J1& G,39.608134,-104.892269
20,19860NB,TIRTL 20 Orchard Rd #70_J1& J2,39.614037,-104.89564
21,19910NB,TIRTL 21 Orchard Rd #72_J1& J2,39.619362,-104.898658
22,19946NB,TIRTL 22 Belleview Ave #74_J1& J2,39.624664,-104.90171
23,19974NB,TIRTL 23 Union Ave #75_J1& J2,39.628233,-104.903812
24,20000NB,TIRTL 24  I-25 #76_J1& J2,39.632339,-104.905897
25,20030NB,TIRTL 25  I-25 #80_J1&600,39.636637,-104.908305
26,20066NB,TIRTL 26 Quincy Ave #96_J1& J2,39.640516,-104.910829
27,20121NB,TIRTL 27 Soundwall Door #84_J1& J2,39.647895,-104.915187
28,20150NB,TIRTL 28 Hampden Ave#85_J1& J2,39.651707,-104.917385
29,20209NB,TIRTL 29 Hampden Ave#88_J1& J2,39.660079,-104.921142
30,20260NB,TIRTL 30 Yale Ave #90_J1& J2,39.666708,-104.924768
31,20313NB,TIRTL 31 Yale Ave #92_J1& J2,39.673022,-104.929106
32,20358NB,TIRTL 32 Evans Ave #93_J1& J2,39.677091,-104.932321
33,20380NB,TIRTL 33 Colorado Blvd #95_J1& J2,39.681606,-104.936757
34,20421NB,TIRTL 34 Colorado Blvd #97_J1& J2,39.68362,-104.942123
35,20460NB,TIRTL 35 Steele St #99_J1& J2,39.684929,-104.9486
36,20497NB,TIRTL 36 University Blvd #100_J1&G,39.684992,-104.95742
37,20542NB,TIRTL 37 University Blvd #102_J1& J2,39.686291,-104.965501
